CLASS,DESCRIPTION,CODE,SYSTEM
condition,Suspected COVID-19,840544004,SNOMED-CT
condition,Cough (finding),49727002,SNOMED-CT
condition,Fever (finding),386661006,SNOMED-CT
condition,Loss of taste (finding),36955009,SNOMED-CT
condition,COVID-19,840539006,SNOMED-CT
condition,Streptococcal sore throat (disorder),43878008,SNOMED-CT
condition,Ischemic heart disease (disorder),414545008,SNOMED-CT
condition,Abnormal findings diagnostic imaging heart+coronary circulat (finding),274531002,SNOMED-CT
condition,History of coronary artery bypass grafting (situation),399261000,SNOMED-CT
condition,Fatigue (finding),84229001,SNOMED-CT
condition,Only received primary school education (finding),224295006,SNOMED-CT
condition,Transport problem (finding),266934004,SNOMED-CT
condition,Lack of access to transportation (finding),713458007,SNOMED-CT
condition,History of tubal ligation (situation),267020005,SNOMED-CT
condition,Polyp of colon,68496003,SNOMED-CT
condition,Hyperlipidemia,55822004,SNOMED-CT
condition,Appendicitis,74400008,SNOMED-CT
condition,History of appendectomy,428251008,SNOMED-CT
condition,Sleep disorder (disorder),39898005,SNOMED-CT
condition,Sleep apnea (disorder),73430006,SNOMED-CT
condition,Drug overdose,55680006,SNOMED-CT
condition,Dependent drug abuse (disorder),6525002,SNOMED-CT
condition,Seizure disorder,128613002,SNOMED-CT
condition,History of single seizure (situation),703151001,SNOMED-CT
condition,Epilepsy,84757009,SNOMED-CT
condition,Unemployed (finding),73438004,SNOMED-CT
condition,Dyspnea (finding),267036007,SNOMED-CT
condition,Wheezing (finding),56018004,SNOMED-CT
condition,Neuropathy due to type 2 diabetes mellitus (disorder),368581000119106,SNOMED-CT
condition,Has a criminal record (finding),266948004,SNOMED-CT
condition,Unhealthy alcohol drinking behavior (finding),10939881000119105,SNOMED-CT
condition,Chronic pain (finding),82423001,SNOMED-CT
condition,Chronic low back pain (finding),278860009,SNOMED-CT
condition,Chronic neck pain (finding),1121000119107,SNOMED-CT
condition,Recurrent rectal polyp,713197008,SNOMED-CT
condition,Overlapping malignant neoplasm of colon,109838007,SNOMED-CT
condition,Sprain of wrist,70704007,SNOMED-CT
condition,Rupture of appendix,47693006,SNOMED-CT
condition,Contact dermatitis,40275004,SNOMED-CT
condition,Otitis media,65363002,SNOMED-CT
condition,Fracture of forearm,65966004,SNOMED-CT
condition,Sinusitis (disorder),36971009,SNOMED-CT
condition,Chronic pain,82423001,SNOMED-CT
condition,Impacted molars,196416002,SNOMED-CT
condition,Localized  primary osteoarthritis of the hand,201834006,SNOMED-CT
condition,Epidermal burn of skin (disorder),403190006,SNOMED-CT
condition,Misuses drugs (finding),361055000,SNOMED-CT
condition,Chronic kidney disease stage 1 (disorder),431855005,SNOMED-CT
condition,Disorder of kidney due to diabetes mellitus (disorder),127013003,SNOMED-CT
condition,Severe anxiety (panic) (finding),80583007,SNOMED-CT
condition,Sterilization requested (situation),183996000,SNOMED-CT
condition,Cystitis,38822007,SNOMED-CT
condition,Obstructive sleep apnea syndrome (disorder),78275009,SNOMED-CT
condition,Chronic kidney disease stage 2 (disorder),431856006,SNOMED-CT
condition,Microalbuminuria due to type 2 diabetes mellitus (disorder),90781000119102,SNOMED-CT
condition,Escherichia coli urinary tract infection,301011002,SNOMED-CT
condition,Body mass index 40+ - severely obese (finding),408512008,SNOMED-CT
condition,Chronic kidney disease stage 3 (disorder),433144002,SNOMED-CT
condition,Proteinuria due to type 2 diabetes mellitus (disorder),157141000119108,SNOMED-CT
condition,Child attention deficit disorder,192127007,SNOMED-CT
condition,Chronic kidney disease stage 4 (disorder),431857002,SNOMED-CT
condition,Awaiting transplantation of kidney (situation),698306007,SNOMED-CT
condition,Complete miscarriage (disorder),156073000,SNOMED-CT
condition,Preeclampsia,398254007,SNOMED-CT
condition,End-stage renal disease (disorder),46177005,SNOMED-CT
condition,History of renal transplant (situation),161665007,SNOMED-CT
condition,Rheumatoid arthritis,69896004,SNOMED-CT
condition,Hyperglycemia (disorder),80394007,SNOMED-CT
condition,Retinopathy due to type 2 diabetes mellitus (disorder),422034002,SNOMED-CT
condition,Fracture of clavicle,58150001,SNOMED-CT
condition,Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder),1551000119108,SNOMED-CT
condition,Injury of neck (disorder),90460009,SNOMED-CT
condition,Whiplash injury to neck,39848009,SNOMED-CT
condition,Sepsis (disorder),91302008,SNOMED-CT
condition,Refugee (person),446654005,SNOMED-CT
condition,Bleeding from anus,6072007,SNOMED-CT
condition,Protracted diarrhea,236077008,SNOMED-CT
condition,Secondary malignant neoplasm of colon,94260004,SNOMED-CT
condition,Injury of knee (disorder),125601008,SNOMED-CT
condition,Rupture of patellar tendon,30832001,SNOMED-CT
condition,Laceration of forearm,283371005,SNOMED-CT
condition,Osteoarthritis of hip,239872002,SNOMED-CT
condition,Muscle pain (finding),68962001,SNOMED-CT
condition,Joint pain (finding),57676002,SNOMED-CT
condition,Fracture of ankle,16114001,SNOMED-CT
condition,Atopic dermatitis,24079001,SNOMED-CT
condition,Chronic intractable migraine without aura,124171000119105,SNOMED-CT
condition,Chill (finding),43724002,SNOMED-CT
condition,Pneumonia (disorder),233604007,SNOMED-CT
condition,Hypoxemia (disorder),389087006,SNOMED-CT
condition,Respiratory distress (finding),271825005,SNOMED-CT
condition,Sepsis caused by virus (disorder),770349000,SNOMED-CT
condition,Acute deep venous thrombosis (disorder),132281000119108,SNOMED-CT
condition,Antepartum eclampsia,198992004,SNOMED-CT
condition,Headache (finding),25064002,SNOMED-CT
condition,Fibromyalgia (disorder),203082005,SNOMED-CT
condition,Seasonal allergic rhinitis,367498001,SNOMED-CT
condition,Laceration of hand,284549007,SNOMED-CT
condition,Acute pulmonary embolism (disorder),706870000,SNOMED-CT
condition,Brain damage - traumatic,275272006,SNOMED-CT
condition,Stroke,230690007,SNOMED-CT
condition,Acute non-ST segment elevation myocardial infarction (disorder),401314000,SNOMED-CT
condition,History of myocardial infarction (situation),399211009,SNOMED-CT
condition,Idiopathic atrophic hypothyroidism,83664006,SNOMED-CT
condition,Mitral valve regurgitation (disorder),48724000,SNOMED-CT
condition,Transition from acute care to home-health care (finding),1871000124103,SNOMED-CT
condition,Transformed migraine (disorder),427419006,SNOMED-CT
condition,Osteoporosis (disorder),64859006,SNOMED-CT
condition,Chronic congestive heart failure (disorder),88805009,SNOMED-CT
condition,Septic shock (disorder),76571007,SNOMED-CT
condition,Shock (disorder),27942005,SNOMED-CT
condition,Injury of tendon of the rotator cuff of shoulder,307731004,SNOMED-CT
condition,Familial Alzheimer's disease of early onset (disorder),230265002,SNOMED-CT
condition,Served in armed forces (finding),224355006,SNOMED-CT
condition,Suspected lung cancer (situation),162573006,SNOMED-CT
condition,Non-small cell lung cancer (disorder),254637007,SNOMED-CT
condition,Non-small cell carcinoma of lung  TNM stage 1 (disorder),424132000,SNOMED-CT
condition,Malignant tumor of colon,363406005,SNOMED-CT
condition,Facial laceration,370247008,SNOMED-CT
condition,Laceration of foot,284551006,SNOMED-CT
condition,Smokes tobacco daily,449868002,SNOMED-CT
condition,Closed fracture of hip,359817006,SNOMED-CT
condition,Suspected prostate cancer (situation),315268008,SNOMED-CT
condition,Neoplasm of prostate,126906006,SNOMED-CT
condition,Carcinoma in situ of prostate (disorder),92691004,SNOMED-CT
condition,Alzheimer's disease (disorder),26929004,SNOMED-CT
condition,Died in hospice (finding),876882001,SNOMED-CT
condition,Acute ST segment elevation myocardial infarction (disorder),401303003,SNOMED-CT
condition,Concussion with loss of consciousness,62564004,SNOMED-CT
condition,Perennial allergic rhinitis,446096008,SNOMED-CT
condition,Osteoarthritis of knee,239873007,SNOMED-CT
condition,Injury of medial collateral ligament of knee,444448004,SNOMED-CT
condition,Sputum finding (finding),248595008,SNOMED-CT
condition,Homeless (finding),32911000,SNOMED-CT
condition,Recurrent urinary tract infection,197927001,SNOMED-CT
condition,Cerebral palsy (disorder),128188000,SNOMED-CT
condition,Pain (finding),22253000,SNOMED-CT
condition,Spasticity (finding),221360009,SNOMED-CT
condition,Epilepsy (disorder),84757009,SNOMED-CT
condition,Gastroesophageal reflux disease (disorder),235595009,SNOMED-CT
condition,Dislocation of hip joint (disorder),157265008,SNOMED-CT
condition,Excessive salivation (disorder),53827007,SNOMED-CT
condition,Dribbling from mouth (finding),62718007,SNOMED-CT
condition,Atrial fibrillation (disorder),49436004,SNOMED-CT
condition,Sore throat symptom (finding),267102003,SNOMED-CT
condition,Acute respiratory failure (disorder),65710008,SNOMED-CT
condition,Gunshot wound (disorder),283545005,SNOMED-CT
condition,Bullet wound,262574004,SNOMED-CT
condition,Aortic valve regurgitation (disorder),60234000,SNOMED-CT
condition,History of aortic valve replacement (situation),1231000119100,SNOMED-CT
condition,Diarrhea symptom (finding),267060006,SNOMED-CT
condition,Traumatic injury of spinal cord and/or vertebral column (disorder),262521009,SNOMED-CT
condition,Fracture of the vertebral column with spinal cord injury,1734006,SNOMED-CT
condition,Gout,90560007,SNOMED-CT
condition,Opioid abuse (disorder),5602001,SNOMED-CT
condition,Alcoholism,7200002,SNOMED-CT
condition,Myocardial infarction (disorder),22298006,SNOMED-CT
condition,Injury of anterior cruciate ligament,444470001,SNOMED-CT
condition,Nausea (finding),422587007,SNOMED-CT
condition,Vomiting symptom (finding),249497008,SNOMED-CT
condition,Pulmonic valve stenosis (disorder),56786000,SNOMED-CT
condition,Chronic obstructive bronchitis (disorder),185086009,SNOMED-CT
condition,Primary fibromyalgia syndrome,95417003,SNOMED-CT
condition,Nasal congestion (finding),68235000,SNOMED-CT
condition,Injury of kidney (disorder),40095003,SNOMED-CT
condition,Injury of heart (disorder),86175003,SNOMED-CT
condition,Acute respiratory distress syndrome (disorder),67782005,SNOMED-CT
condition,Infectious mediastinitis (disorder),312157006,SNOMED-CT
condition,Hemoptysis (finding),66857006,SNOMED-CT
condition,Perennial allergic rhinitis with seasonal variation,232353008,SNOMED-CT
condition,Acquired coagulation disorder (disorder),234466008,SNOMED-CT
condition,Bacterial infectious disease (disorder),87628006,SNOMED-CT
condition,Pulmonary emphysema (disorder),87433001,SNOMED-CT
condition,Major depression disorder,370143000,SNOMED-CT
condition,Fracture of rib,33737001,SNOMED-CT
condition,Major depression  single episode,36923009,SNOMED-CT
condition,Fracture of vertebral column without spinal cord injury,15724005,SNOMED-CT
condition,Small cell carcinoma of lung (disorder),254632001,SNOMED-CT
condition,Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder),67811000119102,SNOMED-CT
condition,Aortic valve stenosis (disorder),60573004,SNOMED-CT
condition,Asthma,195967001,SNOMED-CT
condition,Tear of meniscus of knee,239720000,SNOMED-CT
condition,Pathological fracture due to osteoporosis (disorder),443165006,SNOMED-CT
condition,Macular edema and retinopathy due to type 2 diabetes mellitus (disorder),97331000119101,SNOMED-CT
condition,Pneumonia,233604007,SNOMED-CT
condition,Tubal pregnancy,79586000,SNOMED-CT
condition,Primary malignant neoplasm of colon,93761005,SNOMED-CT
condition,Acute allergic reaction,241929008,SNOMED-CT
condition,Preinfarction syndrome (disorder),4557003,SNOMED-CT
condition,Meningomyelocele (disorder),414667000,SNOMED-CT
condition,Chiari malformation type II (disorder),373587001,SNOMED-CT
condition,Congenital deformity of foot (disorder),302297009,SNOMED-CT
condition,Hydrocephalus (disorder),230745008,SNOMED-CT
condition,Allergy to latex (finding),300916003,SNOMED-CT
condition,Urinary tract infectious disease (disorder),68566005,SNOMED-CT
condition,Pressure ulcer (disorder),399912005,SNOMED-CT
condition,Metastasis from malignant tumor of prostate (disorder),314994000,SNOMED-CT
condition,Tricuspid valve regurgitation (disorder),111287006,SNOMED-CT
condition,Posttraumatic stress disorder,47505003,SNOMED-CT
condition,Acute Cholecystitis,65275009,SNOMED-CT
condition,Cholelithiasis,235919008,SNOMED-CT
condition,Intellectual disability (disorder),110359009,SNOMED-CT
condition,Acute myeloid leukemia  disease (disorder),91861009,SNOMED-CT
condition,Febrile neutropenia (disorder),409089005,SNOMED-CT
condition,Bacteremia (finding),5758002,SNOMED-CT
condition,Chronic paralysis due to lesion of spinal cord,698754002,SNOMED-CT
condition,Acquired immune deficiency syndrome (disorder),62479008,SNOMED-CT
condition,Kidney transplant failure and rejection (disorder),213150003,SNOMED-CT
condition,Renal dysplasia (disorder),204949001,SNOMED-CT
condition,Unable to swallow saliva (finding),288959006,SNOMED-CT
condition,Constipation (finding),14760008,SNOMED-CT
condition,Proliferative diabetic retinopathy due to type II diabetes mellitus (disorder),1501000119109,SNOMED-CT
condition,Human immunodeficiency virus infection (disorder),86406008,SNOMED-CT
condition,Heart failure (disorder),84114007,SNOMED-CT
condition,Female Infertility,707577004,SNOMED-CT
condition,Cystic Fibrosis,190905008,SNOMED-CT
condition,Infection caused by Staphylococcus aureus,406602003,SNOMED-CT
condition,Diabetes from Cystic Fibrosis,427089005,SNOMED-CT
condition,Sepsis caused by Staphylococcus aureus,448417001,SNOMED-CT
condition,Infection caused by Pseudomonas aeruginosa,11218009,SNOMED-CT
condition,Sepsis caused by Pseudomonas (disorder),448813005,SNOMED-CT
condition,History of lower limb amputation (situation),161622006,SNOMED-CT
condition,Pulmonic valve regurgitation (disorder),91434003,SNOMED-CT
condition,Acute respiratory insufficiency (disorder),111282000,SNOMED-CT
condition,Third degree burn,403192003,SNOMED-CT
condition,Pyelonephritis,45816000,SNOMED-CT
condition,Traumatic brain injury (disorder),127295002,SNOMED-CT
condition,History of artificial joint (situation),161679004,SNOMED-CT
condition,Mitral valve stenosis (disorder),79619009,SNOMED-CT
condition,Scoliosis deformity of spine (disorder),298382003,SNOMED-CT
condition,Toxoplasma gondii antibody positive (finding),428915008,SNOMED-CT
condition,Lupus erythematosus,200936003,SNOMED-CT
condition,Poor muscle tone (finding),398152000,SNOMED-CT
condition,Chronic type B viral hepatitis (disorder),61977001,SNOMED-CT
condition,Dystonia (disorder),15802004,SNOMED-CT
condition,Chronic hepatitis C (disorder),128302006,SNOMED-CT
condition,Retention of urine (disorder),267064002,SNOMED-CT
condition,Attempted suicide - cut/stab,287185009,SNOMED-CT
condition,History of aortic valve repair (situation),119481000119105,SNOMED-CT
condition,Passive conjunctival congestion (finding),246677007,SNOMED-CT
condition,Anticoagulant-induced bleeding (disorder),278365007,SNOMED-CT
condition,History of upper limb amputation (situation),161621004,SNOMED-CT
condition,Acute cerebrovascular accident (disorder),457551000124104,SNOMED-CT
condition,Meconium Ileus,206523001,SNOMED-CT
condition,Blindness due to type 2 diabetes mellitus (disorder),60951000119105,SNOMED-CT
condition,Social migrant (finding),160701002,SNOMED-CT
condition,Non-low risk pregnancy,47200007,SNOMED-CT
condition,Meningocele (disorder),171131006,SNOMED-CT
condition,History of amputation of foot (situation),429280009,SNOMED-CT
condition,Tricuspid valve stenosis (disorder),49915006,SNOMED-CT
device,Manual wheelchair (physical object),228869008,SNOMED-CT
device,Blood glucose meter (physical object),337414009,SNOMED-CT
device,Home nebulizer (physical object),170615005,SNOMED-CT
device,Home continuous positive airway pressure unit (physical object),702172008,SNOMED-CT
device,Respiratory humidifier (physical object),706180003,SNOMED-CT
device,Respiratory apnea monitoring system (physical object),701077002,SNOMED-CT
device,Polysomnography analyzer (physical object),701100002,SNOMED-CT
device,Appliance for sleep apnea (physical object),272265001,SNOMED-CT
device,Wheelchair accessory (physical object),705417005,SNOMED-CT
device,Hospital bed  device (physical object),91537007,SNOMED-CT
device,Commode (physical object),360008003,SNOMED-CT
device,Walker (physical object),705406009,SNOMED-CT
device,Patient lifting system (physical object),706112002,SNOMED-CT
device,Mechanical cardiac valve prosthesis (physical object),705991002,SNOMED-CT
device,Crutches (physical object),363753007,SNOMED-CT
device,Oxygen concentrator (physical object),336621006,SNOMED-CT
device,Mechanical ventilator (physical object),449071006,SNOMED-CT
device,Videolaryngoscope (physical object),448907002,SNOMED-CT
device,Hemodialysis machine  device (physical object),36965003,SNOMED-CT
device,Portable oxygen cylinder (physical object),261323006,SNOMED-CT
device,Power-assisted wheelchair (physical object),705427004,SNOMED-CT
device,Aortic valve bioprosthesis (physical object),860577005,SNOMED-CT
device,Portable oxygen concentrator (physical object),464173000,SNOMED-CT
device,Intra-aortic balloon pump  device (physical object),129113006,SNOMED-CT
device,Home-use sleep apnea recording system (physical object),720253003,SNOMED-CT
device,Ventricular assist device (physical object),360064003,SNOMED-CT
device,Left ventricular assist device (physical object),360066001,SNOMED-CT
device,Implantable cardiac pacemaker (physical object),706004007,SNOMED-CT
device,Cardiac pacemaker  device (physical object),14106009,SNOMED-CT
encounter,Well child visit (procedure),410620009,SNOMED-CT
encounter,Emergency room admission (procedure),50849002,SNOMED-CT
encounter,Encounter for check up,185349003,SNOMED-CT
encounter,Consultation for treatment,698314001,SNOMED-CT
encounter,General examination of patient (procedure),162673000,SNOMED-CT
encounter,Encounter for symptom,185345009,SNOMED-CT
encounter,Patient encounter procedure,308335008,SNOMED-CT
encounter,Prenatal initial visit,424441002,SNOMED-CT
encounter,Prenatal visit,424619006,SNOMED-CT
encounter,Admission to skilled nursing facility (procedure),449411000124106,SNOMED-CT
encounter,Obstetric emergency hospital admission,183460006,SNOMED-CT
encounter,Postnatal visit,169762003,SNOMED-CT
encounter,Administration of vaccine to produce active immunity (procedure),33879002,SNOMED-CT
encounter,Encounter for check up (procedure),185349003,SNOMED-CT
encounter,Follow-up encounter (procedure),390906007,SNOMED-CT
encounter,Periodic reevaluation and management of healthy individual (procedure),86013001,SNOMED-CT
encounter,Discussion about treatment (procedure),223484005,SNOMED-CT
encounter,Encounter for problem,185347001,SNOMED-CT
encounter,Postoperative follow-up visit (procedure),439740005,SNOMED-CT
encounter,Urgent care clinic (environment),702927004,SNOMED-CT
encounter,Encounter for symptom (procedure),185345009,SNOMED-CT
encounter,Asthma follow-up,394701000,SNOMED-CT
encounter,Encounter for problem (procedure),185347001,SNOMED-CT
encounter,Hospital admission (procedure),32485007,SNOMED-CT
encounter,Patient transfer to intensive care unit (procedure),397821002,SNOMED-CT
encounter,Admission to ward (procedure),305342007,SNOMED-CT
encounter,Patient-initiated encounter,270427003,SNOMED-CT
encounter,Admission to surgical department,305408004,SNOMED-CT
encounter,Follow-up encounter,390906007,SNOMED-CT
encounter,Follow-up visit (procedure),185389009,SNOMED-CT
encounter,Drug rehabilitation and detoxification,56876005,SNOMED-CT
encounter,Patient encounter procedure (procedure),308335008,SNOMED-CT
encounter,Emergency hospital admission (procedure),183452005,SNOMED-CT
encounter,Emergency treatment (procedure),182813001,SNOMED-CT
encounter,Admission to surgical transplant department (procedure),305432006,SNOMED-CT
encounter,Admission to hospice (procedure),305336008,SNOMED-CT
encounter,Death Certification,308646001,SNOMED-CT
encounter,Non-urgent orthopedic admission,183495009,SNOMED-CT
encounter,Hospital admission for isolation (procedure),1505002,SNOMED-CT
encounter,Emergency hospital admission for asthma,183478001,SNOMED-CT
encounter,Allergic disorder initial assessment,170837001,SNOMED-CT
encounter,Outpatient procedure,371883000,SNOMED-CT
encounter,Allergic disorder follow-up assessment,170838006,SNOMED-CT
encounter,Home visit (procedure),439708006,SNOMED-CT
encounter,Admission to intensive care unit (procedure),305351004,SNOMED-CT
encounter,Telemedicine consultation with patient,448337001,SNOMED-CT
encounter,Office Visit,316744009,SNOMED-CT
encounter,Physician visit with evaluation AND/OR management service (procedure),108219001,SNOMED-CT
encounter,Screening surveillance (regime/therapy),410410006,SNOMED-CT
encounter,Hospital admission,32485007,SNOMED-CT
encounter,Initial Psychiatric Interview with mental status evaluation,79094001,SNOMED-CT
encounter,Admission to thoracic surgery department,305411003,SNOMED-CT
encounter,Domiciliary or rest home patient evaluation and management,210098006,SNOMED-CT
encounter,Emergency department patient visit (procedure),4525004,SNOMED-CT
encounter,Hospital admission  for observation (procedure),76464004,SNOMED-CT
encounter,Transfer to stepdown unit (procedure),449214001,SNOMED-CT
encounter,posttraumatic stress disorder,47505003,SNOMED-CT
encounter,Telephone encounter (procedure),185317003,SNOMED-CT
encounter,Admission to ward (procedure,305342007,SNOMED-CT
encounter,Gynecology service (qualifier value),310061009,SNOMED-CT
encounter,General outpatient clinic admission (procedure),40274000,SNOMED-CT
encounter,Diagnosis of cystic fibrosis using sweat test and gene test,67799006,SNOMED-CT
encounter,Awaiting transplantation of lung (situation),16602611000119108,SNOMED-CT
encounter,Inpatient stay 3 days,183801001,SNOMED-CT
encounter,Surgical procedure (procedure),387713003,SNOMED-CT
encounter,Outpatient Procedure (procedure),371883000,SNOMED-CT
encounter,Postoperative visit (finding),183646003,SNOMED-CT
imaging,Digital Radiography_OF_Wrist,60027007,SNOMED-CT
imaging,Computed Radiography_OF_Thoracic structure (body structure),399208008,SNOMED-CT
imaging,Ultrasound_OF_Heart structure (body structure),40701008,SNOMED-CT
imaging,Digital Radiography_OF_Structure of upper extremity between shoulder and elbow (body structure),1225002,SNOMED-CT
imaging,Digital Radiography_OF_Clavicle,168594001,SNOMED-CT
imaging,Digital Radiography_OF_Knee,74016001,SNOMED-CT
imaging,Digital Radiography_OF_Ankle,19490002,SNOMED-CT
imaging,Ultrasound_OF_Thoracic structure (body structure),433236007,SNOMED-CT
imaging,Digital Radiography_OF_Pelvis,268425006,SNOMED-CT
imaging,Computed Tomography_OF_Thoracic structure (body structure),16335031000119103,SNOMED-CT
imaging,Digital Radiography_OF_Chest,399208008,SNOMED-CT
imaging,Computed Tomography_OF_Entire chest and abdomen and pelvis (body structure),418023006,SNOMED-CT
imaging,Ultrasound_OF_Structure of right upper quadrant of abdomen,426701000119108,SNOMED-CT
imaging,Ultrasound_OF_Carotid body structure (body structure),709979004,SNOMED-CT
imaging,Computed Tomography_OF_Head structure (body structure),303653007,SNOMED-CT
immunization,Hep B  adolescent or pediatric,8,CVX
immunization,Hib (PRP-OMP),49,CVX
immunization,rotavirus  monovalent,119,CVX
immunization,IPV,10,CVX
immunization,DTaP,20,CVX
immunization,Pneumococcal conjugate PCV 13,133,CVX
immunization,Influenza  seasonal  injectable  preservative free,140,CVX
immunization,Tdap,115,CVX
immunization,HPV  quadrivalent,62,CVX
